,solution_id,random_index,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,teff_val,lum_val,class
15623,1635721458409799680,15623,5306087023676478464,144.53446332708714,-58.034587060668244,16.551811,17.047321,15.893537,1.1537848,0.4955101,0.65827465,4922.0,,K
15654,1635721458409799680,15654,4687634616617133952,18.768657164666756,-71.63026598820676,16.03077,16.324514,15.539421,0.7850933,0.29374504,0.49134827,5920.23,,G
15655,1635721458409799680,15655,335675922095335168,43.01959551717921,39.96670268711857,11.863705,12.445298,11.169721,1.2755775,0.5815935,0.69398403,4737.24,63.93411,K
15658,1635721458409799680,15658,251700274850183296,59.54637758210521,52.050266917440226,16.48954,17.12792,15.7228365,1.4050837,0.63838005,0.7667036,4662.16,0.31114915,K
15685,1635721458409799680,15685,2048646490508079616,294.93400322787795,36.12983100346304,15.891281,16.53375,15.133059,1.400692,0.6424694,0.7582226,4850.25,,K
15718,1635721458409799680,15718,3061717881351072640,110.57790143526208,-2.19581177855006,16.830153,17.21802,16.285307,0.93271255,0.38786697,0.5448456,5411.0,,G
15733,1635721458409799680,15733,5873470242348606848,228.28904278359312,-63.71429586711381,16.577175,17.24387,15.759761,1.4841089,0.66669464,0.8174143,4412.5,0.518912,K
15738,1635721458409799680,15738,3423221189840423936,90.36943774573764,21.478701613926624,16.889326,16.9825,15.343038,1.6394625,0.09317398,1.5462885,5143.45,,K
15750,1635721458409799680,15750,4378259601069597696,255.51561647653702,-2.329213423525206,13.781167,14.251295,13.150547,1.1007481,0.47012806,0.63062,4973.0,0.83723927,K
15751,1635721458409799680,15751,3414491582913400320,81.03590342903793,22.029992376573905,16.96209,17.531822,16.181534,1.3502884,0.56973267,0.7805557,4667.68,,K
15764,1635721458409799680,15764,1743193050668274816,316.95844421038123,8.024640792764972,15.4832,16.075932,14.699416,1.3765154,0.5927315,0.7837839,4649.0767,,K
15765,1635721458409799680,15765,5708684888474484352,128.30960413140033,-18.216031034233694,15.816802,16.133081,15.330782,0.8022995,0.3162794,0.4860201,5869.75,1.2014577,G
15769,1635721458409799680,15769,2923535451858016640,99.75965643048231,-24.857984835453497,16.505543,17.246603,15.682801,1.5638018,0.74106026,0.8227415,4333.565,0.13607873,K
15779,1635721458409799680,15779,4039278860671865728,272.87839490679227,-34.67218676826593,16.118633,16.578892,15.436638,1.1422539,0.46025848,0.6819954,4868.0,0.36394528,K
15780,1635721458409799680,15780,2673359684240620800,326.7779884031277,-2.9198494240157564,15.206686,15.612393,14.656326,0.9560671,0.40570736,0.5503597,5414.45,0.7078847,G
15796,1635721458409799680,15796,6025651409039463936,247.0646123215795,-31.10827040122673,16.678856,17.272314,15.950786,1.3215284,0.5934582,0.72807026,4985.825,,K
15804,1635721458409799680,15804,2842709871061941632,346.013569842949,24.639760144833673,16.755745,17.163418,16.19034,0.9730778,0.40767288,0.5654049,5371.6665,,G
15809,1635721458409799680,15809,2982038335266029440,79.53146165352763,-17.643305620007798,16.872149,17.290829,16.298368,0.99246025,0.4186802,0.57378006,5338.6665,,G
15825,1635721458409799680,15825,669653403665765632,121.47994760137648,19.201784127344578,15.313435,15.588595,14.8715315,0.7170639,0.2751608,0.4419031,6276.5,1.8091228,F
15835,1635721458409799680,15835,579098966030596224,136.71003837849517,3.8260585699690437,16.880144,17.370453,16.189293,1.18116,0.49030876,0.6908512,4909.0625,,K
15840,1635721458409799680,15840,5615918920651220352,115.00718456091617,-22.93667405186259,15.627074,15.9192915,15.161438,0.7578535,0.29221725,0.46563625,6139.2104,,F
15867,1635721458409799680,15867,4107399859452730368,259.0232952569944,-28.987519644820452,15.855795,16.481476,15.013594,1.4678822,0.6256809,0.84220123,4905.3203,0.27541173,K
15870,1635721458409799680,15870,5929270423105757184,251.99973219268907,-56.60943895250715,15.1091585,16.019287,14.165471,1.853816,0.9101286,0.94368744,3883.0,,K
